colour	x	y	showSelectedlegendcolour	fill
#A3A500	1	42	1	#A3A500
#A3A500	1	51	1	#A3A500
#A3A500	1	59	1	#A3A500
#A3A500	1	64	1	#A3A500
#A3A500	1	76	1	#A3A500
#A3A500	1	93	1	#A3A500
#A3A500	1	106	1	#A3A500
#A3A500	1	125	1	#A3A500
#A3A500	1	149	1	#A3A500
#A3A500	1	171	1	#A3A500
#A3A500	1	199	1	#A3A500
#A3A500	1	205	1	#A3A500
#39B600	1	40	2	#39B600
#39B600	1	49	2	#39B600
#39B600	1	58	2	#39B600
#39B600	1	72	2	#39B600
#39B600	1	84	2	#39B600
#39B600	1	103	2	#39B600
#39B600	1	122	2	#39B600
#39B600	1	138	2	#39B600
#39B600	1	162	2	#39B600
#39B600	1	187	2	#39B600
#39B600	1	209	2	#39B600
#39B600	1	215	2	#39B600
#D89000	1	43	3	#D89000
#D89000	1	39	3	#D89000
#D89000	1	55	3	#D89000
#D89000	1	67	3	#D89000
#D89000	1	84	3	#D89000
#D89000	1	99	3	#D89000
#D89000	1	115	3	#D89000
#D89000	1	138	3	#D89000
#D89000	1	163	3	#D89000
#D89000	1	187	3	#D89000
#D89000	1	198	3	#D89000
#D89000	1	202	3	#D89000
#F8766D	1	42	4	#F8766D
#F8766D	1	49	4	#F8766D
#F8766D	1	56	4	#F8766D
#F8766D	1	67	4	#F8766D
#F8766D	1	74	4	#F8766D
#F8766D	1	87	4	#F8766D
#F8766D	1	102	4	#F8766D
#F8766D	1	108	4	#F8766D
#F8766D	1	136	4	#F8766D
#F8766D	1	154	4	#F8766D
#F8766D	1	160	4	#F8766D
#F8766D	1	157	4	#F8766D
#00BF7D	1	41	5	#00BF7D
#00BF7D	1	42	5	#00BF7D
#00BF7D	1	48	5	#00BF7D
#00BF7D	1	60	5	#00BF7D
#00BF7D	1	79	5	#00BF7D
#00BF7D	1	106	5	#00BF7D
#00BF7D	1	141	5	#00BF7D
#00BF7D	1	164	5	#00BF7D
#00BF7D	1	197	5	#00BF7D
#00BF7D	1	199	5	#00BF7D
#00BF7D	1	220	5	#00BF7D
#00BF7D	1	223	5	#00BF7D
#FF62BC	2	40	21	#FF62BC
#FF62BC	2	50	21	#FF62BC
#FF62BC	2	62	21	#FF62BC
#FF62BC	2	86	21	#FF62BC
#FF62BC	2	125	21	#FF62BC
#FF62BC	2	163	21	#FF62BC
#FF62BC	2	217	21	#FF62BC
#FF62BC	2	240	21	#FF62BC
#FF62BC	2	275	21	#FF62BC
#FF62BC	2	307	21	#FF62BC
#FF62BC	2	318	21	#FF62BC
#FF62BC	2	331	21	#FF62BC
#00B0F6	2	41	22	#00B0F6
#00B0F6	2	55	22	#00B0F6
#00B0F6	2	64	22	#00B0F6
#00B0F6	2	77	22	#00B0F6
#00B0F6	2	90	22	#00B0F6
#00B0F6	2	95	22	#00B0F6
#00B0F6	2	108	22	#00B0F6
#00B0F6	2	111	22	#00B0F6
#00B0F6	2	131	22	#00B0F6
#00B0F6	2	148	22	#00B0F6
#00B0F6	2	164	22	#00B0F6
#00B0F6	2	167	22	#00B0F6
#9590FF	2	43	23	#9590FF
#9590FF	2	52	23	#9590FF
#9590FF	2	61	23	#9590FF
#9590FF	2	73	23	#9590FF
#9590FF	2	90	23	#9590FF
#9590FF	2	103	23	#9590FF
#9590FF	2	127	23	#9590FF
#9590FF	2	135	23	#9590FF
#9590FF	2	145	23	#9590FF
#9590FF	2	163	23	#9590FF
#9590FF	2	170	23	#9590FF
#9590FF	2	175	23	#9590FF
#00BFC4	2	42	24	#00BFC4
#00BFC4	2	52	24	#00BFC4
#00BFC4	2	58	24	#00BFC4
#00BFC4	2	74	24	#00BFC4
#00BFC4	2	66	24	#00BFC4
#00BFC4	2	68	24	#00BFC4
#00BFC4	2	70	24	#00BFC4
#00BFC4	2	71	24	#00BFC4
#00BFC4	2	72	24	#00BFC4
#00BFC4	2	72	24	#00BFC4
#00BFC4	2	76	24	#00BFC4
#00BFC4	2	74	24	#00BFC4
#E76BF3	2	40	25	#E76BF3
#E76BF3	2	49	25	#E76BF3
#E76BF3	2	62	25	#E76BF3
#E76BF3	2	78	25	#E76BF3
#E76BF3	2	102	25	#E76BF3
#E76BF3	2	124	25	#E76BF3
#E76BF3	2	146	25	#E76BF3
#E76BF3	2	164	25	#E76BF3
#E76BF3	2	197	25	#E76BF3
#E76BF3	2	231	25	#E76BF3
#E76BF3	2	259	25	#E76BF3
#E76BF3	2	265	25	#E76BF3
